incident_id,date,time,year,month,hour,day_of_week,area,locality,street_name,zone,location_type,latitude,longitude,incident_type,incident_sub_type,severity,status,department,response_time_minutes,people_involved,victim_count,injuries,damage_cost,report_source,lighting_condition,cctv_available,premises_status,weather_condition,offender_captured
17,2023-07-31,11:40:00,2023,7,11,Friday,Patancheru,Industrial Road,North,North,Industrial Area,17.526735,78.41472,Disaster,Car Accident,Critical,In Progress,Disaster Management,18,44,15,1,106674,Driver,Daylight,No,Open,Clear,Yes
18,2023-08-18,14:05:00,2023,8,14,Tuesday,Shadnagar,Village Area,South,South,Village Area,17.301644,78.394671,Disaster,Theft,Critical,In Progress,Disaster Management,29,46,15,11,80793,Driver,Daylight,No,Open,Fog,Yes
19,2023-09-05,23:20:00,2023,9,23,Sunday,Hayathnagar,School Street,East,East,School,17.393706,78.531395,Disaster,Heart Attack,Low,Open,Disaster Management,16,44,13,6,175685,Driver,Well-lit,No,Open,Fog,No
20,2023-10-12,08:45:00,2023,10,8,Tuesday,Chevella,Agricultural Road,South,South,Residential,17.306886,78.437615,Crime,Heart Attack,Critical,Open,Police,28,9,7,5,134137,Citizen,Daylight,No,Open,Hot,Yes
21,2023-11-28,16:35:00,2023,11,16,Sunday,Madhapur,Road No 12,West,West,Commercial,17.441715,78.400502,Accident,Heart Attack,Critical,Resolved,Traffic Police,42,5,0,0,199410,Neighbor,Daylight,Yes,Open,Rain,No
22,2023-12-07,12:20:00,2023,12,12,Wednesday,Gachibowli,Lake View Road,West,West,Residential,17.424602,78.339954,Fire,Car Accident,Medium,Open,Fire Department,15,39,8,2,17091,Anonymous,Well-lit,Yes,Open,Rain,Yes
23,2024-01-19,09:55:00,2024,1,9,Saturday,Secunderabad,Railway Station Road,North,North,Commercial,17.433767,78.492213,Crime,Fire Alert,Medium,Open,Police,34,36,4,4,109359,Driver,Dim,Yes,Open,Rain,Yes
24,2024-02-03,21:50:00,2024,2,21,Friday,Banjara Hills,Road No 1,Central,Central,Commercial,17.422058,78.470737,Crime,Fire Alert,Medium,Open,Police,21,49,2,2,148792,Family,No Streetlights,No,Open,Heavy Rain,Yes
25,2024-03-14,13:25:00,2024,3,13,Friday,Jubilee Hills,Metro Road,Central,Central,Residential,17.435059,78.447818,Public Complaint,Theft,Critical,Open,GHMC,6,37,14,13,156500,Family,Dim,Yes,Open,Hot,No
26,2024-04-28,17:10:00,2024,4,17,Monday,Miyapur,Industrial Road,West,North,Industrial Area,17.485923,78.392508,Public Complaint,Flood,Medium,In Progress,GHMC,31,44,8,5,161546,Driver,No Streetlights,Yes,Open,Fog,No
27,2024-05-11,06:30:00,2024,5,6,Sunday,Uppal,Market Road,East,East,Commercial,17.41425,78.558526,Disaster,Flood,Low,In Progress,Disaster Management,18,44,15,1,95914,Anonymous,Daylight,Yes,Open,Cloudy,No
28,2024-06-23,15:45:00,2024,6,15,Wednesday,Charminar,Old City Lane,South,South,Commercial,17.365649,78.461897,Medical Emergency,Theft,Critical,In Progress,Ambulance,7,8,3,1,27115,Neighbor,Daylight,No,Open,Fog,No
29,2024-07-08,11:15:00,2024,7,11,Friday,Kukatpally,School Street,North,Central,School,17.481378,78.403316,Disaster,Heart Attack,Medium,Open,Disaster Management,29,13,10,3,20815,Family,Daylight,Yes,Open,Rain,No
30,2024-08-19,20:25:00,2024,8,20,Saturday,Ameerpet,Hospital Road,Central,Central,Hospital,17.433674,78.449431,Accident,Heart Attack,High,Resolved,Traffic Police,7,32,18,2,177355,Police,Dim,No,Open,Rain,Yes
31,2024-09-02,14:50:00,2024,9,14,Saturday,LB Nagar,Metro Road,East,East,Residential,17.344266,78.564095,Fire,Fire Alert,Critical,Resolved,Fire Department,41,13,3,3,137099,Neighbor,No Streetlights,Yes,Open,Rain,No
32,2024-10-17,22:40:00,2024,10,22,Saturday,Nampally,Main Road,Central,Central,Commercial,17.380571,78.480114,Fire,Car Accident,Low,In Progress,Fire Department,6,12,7,7,65893,Family,Well-lit,Yes,Open,Heavy Rain,Yes
33,2024-11-25,08:20:00,2024,11,8,Saturday,Tolichowki,Residential Area,South,South,Commercial,17.392285,78.423167,Public Complaint,Noise Complaint,Medium,In Progress,GHMC,10,35,20,12,15401,Police,Dim,Yes,Open,Hot,Yes
34,2024-12-31,16:15:00,2024,12,16,Wednesday,Hitech City,IT Park Road,West,West,Public Park,17.450469,78.373085,Disaster,Theft,Low,Open,Disaster Management,27,39,14,7,81117,Family,Daylight,No,Open,Fog,Yes
35,2025-01-14,10:35:00,2025,1,10,Saturday,Medchal,Highway Road,North,North,Residential,17.577216,78.498055,Public Complaint,Noise Complaint,Critical,In Progress,GHMC,21,25,18,0,104980,Anonymous,Daylight,No,Open,Clear,No
36,2025-02-22,19:55:00,2025,2,19,Wednesday,Begumpet,Metro Road,North,Central,Commercial,17.433813,78.477477,Public Complaint,Heart Attack,Low,Resolved,GHMC,8,21,11,11,39528,Driver,Daylight,No,Open,Hot,No
37,2025-03-08,12:10:00,2025,3,12,Monday,Shamshabad,Airport Road,South,South,Residential,17.326233,78.447062,Accident,Theft,Low,In Progress,Traffic Police,20,11,10,4,115706,Neighbor,Daylight,No,Open,Fog,Yes
38,2025-04-16,07:45:00,2025,4,7,Tuesday,Patancheru,Industrial Road,North,North,Industrial Area,17.529958,78.402159,Accident,Noise Complaint,Critical,In Progress,Traffic Police,56,28,17,17,172725,Driver,No Streetlights,Yes,Open,Fog,Yes
39,2025-05-24,15:30:00,2025,5,15,Wednesday,Shadnagar,Village Area,South,South,Village Area,17.303572,78.394811,Fire,Noise Complaint,Medium,In Progress,Fire Department,7,8,6,3,2710,Neighbor,Dim,No,Open,Heavy Rain,No
40,2025-06-11,21:15:00,2025,6,21,Sunday,Hayathnagar,School Street,East,East,School,17.402329,78.535569,Accident,Fire Alert,Medium,Open,Traffic Police,7,41,0,0,111203,Anonymous,Well-lit,Yes,Open,Heavy Rain,No
41,2025-07-18,13:40:00,2025,7,13,Wednesday,Chevella,Agricultural Road,South,South,Residential,17.300387,78.43298,Crime,Fire Alert,Critical,Resolved,Police,58,25,20,17,116187,Anonymous,Daylight,No,Open,Clear,Yes
42,2025-08-02,09:25:00,2025,8,9,Tuesday,Madhapur,Road No 36,West,West,Residential,17.439165,78.397707,Public Complaint,Fire Alert,High,Resolved,GHMC,49,13,10,9,152111,Police,No Streetlights,No,Open,Heavy Rain,Yes
43,2025-09-14,18:50:00,2025,9,18,Friday,Gachibowli,Lake View Road,West,West,Commercial,17.423308,78.34228,Disaster,Flood,Low,Open,Disaster Management,36,23,14,2,188739,Driver,Daylight,Yes,Open,Cloudy,No
44,2025-10-27,11:05:00,2025,10,11,Saturday,Secunderabad,Railway Station Road,North,North,Commercial,17.451415,78.489089,Disaster,Theft,Medium,Open,Disaster Management,23,34,0,0,102832,Family,No Streetlights,No,Open,Heavy Rain,No
45,2025-11-09,22:30:00,2025,11,22,Monday,Banjara Hills,Road No 12,Central,Central,Residential,17.416956,78.488959,Public Complaint,Heart Attack,High,Open,GHMC,20,17,10,5,139957,Neighbor,Well-lit,No,Open,Rain,No
46,2025-12-15,08:50:00,2025,12,8,Friday,Jubilee Hills,Metro Road,Central,Central,Commercial,17.428613,78.475299,Medical Emergency,Fire Alert,Critical,Open,Ambulance,33,46,6,0,34831,Citizen,Well-lit,No,Open,Rain,Yes
47,2022-01-20,14:15:00,2022,1,14,Wednesday,Miyapur,Industrial Road,West,North,Industrial Area,17.508392,78.382868,Public Complaint,Heart Attack,High,In Progress,GHMC,42,20,12,4,144622,Anonymous,Daylight,Yes,Open,Clear,No
48,2022-02-11,20:40:00,2022,2,20,Monday,Uppal,Market Road,East,East,Residential,17.419716,78.551721,Accident,Heart Attack,High,In Progress,Traffic Police,48,45,11,6,195240,Citizen,Dim,No,Open,Heavy Rain,Yes
49,2022-03-25,11:30:00,2022,3,11,Monday,Charminar,Old City Lane,South,South,Commercial,17.350393,78.47568,Disaster,Heart Attack,High,Open,Disaster Management,53,7,3,2,128356,Neighbor,Well-lit,No,Open,Hot,No
50,2022-04-08,16:25:00,2022,4,16,Sunday,Kukatpally,School Street,North,Central,School,17.486373,78.408934,Fire,Car Accident,Medium,In Progress,Fire Department,54,46,7,0,142744,Anonymous,Well-lit,No,Open,Heavy Rain,Yes
51,2022-05-17,09:10:00,2022,5,9,Thursday,Ameerpet,Hospital Road,Central,Central,Hospital,17.438753,78.445104,Accident,Flood,Critical,Resolved,Traffic Police,25,5,2,2,120140,Driver,Well-lit,Yes,Open,Hot,Yes
52,2022-06-29,22:55:00,2022,6,22,Tuesday,LB Nagar,Metro Road,East,East,Residential,17.33542,78.554486,Fire,Theft,Low,Open,Fire Department,45,42,3,3,177733,Family,Dim,Yes,Open,Fog,Yes
53,2022-07-14,13:45:00,2022,7,13,Saturday,Nampally,Main Road,Central,Central,Commercial,17.388481,78.48986,Crime,Theft,Critical,Open,Police,45,42,4,4,45478,Neighbor,No Streetlights,Yes,Open,Rain,No
54,2022-08-30,07:20:00,2022,8,7,Monday,Tolichowki,Residential Area,South,South,Residential,17.380523,78.428342,Crime,Flood,Low,Open,Police,31,9,0,0,1397,Family,Well-lit,No,Open,Fog,No
55,2022-09-12,18:35:00,2022,9,18,Friday,Hitech City,IT Park Road,West,West,Public Park,17.445443,78.385133,Medical Emergency,Flood,High,Open,Ambulance,18,47,20,19,131126,Citizen,No Streetlights,Yes,Open,Hot,Yes
56,2022-10-24,10:50:00,2022,10,10,Sunday,Medchal,Highway Road,North,North,Residential,17.574814,78.481314,Accident,Flood,High,Resolved,Traffic Police,56,24,14,4,48688,Driver,No Streetlights,No,Open,Fog,Yes
57,2022-11-05,15:15:00,2022,11,15,Thursday,Begumpet,Metro Road,North,Central,Residential,17.454023,78.48501,Crime,Theft,High,Resolved,Police,38,35,11,0,197049,Police,Dim,No,Open,Cloudy,No
58,2022-12-18,21:05:00,2022,12,21,Thursday,Shamshabad,Airport Road,South,South,Commercial,17.316197,78.446931,Medical Emergency,Theft,Medium,Open,Ambulance,21,44,6,6,87172,Police,Well-lit,No,Open,Rain,No
59,2023-01-29,12:40:00,2023,1,12,Sunday,Patancheru,Industrial Road,North,North,Industrial Area,17.531656,78.4151,Fire,Car Accident,Critical,Open,Fire Department,60,7,7,0,43435,Family,Well-lit,Yes,Open,Fog,No
60,2023-02-10,08:25:00,2023,2,8,Saturday,Shadnagar,Village Area,South,South,Village Area,17.31005,78.40787,Fire,Fire Alert,Medium,Resolved,Fire Department,26,31,16,16,170104,Driver,No Streetlights,No,Open,Cloudy,Yes
61,2023-03-22,19:20:00,2023,3,19,Saturday,Hayathnagar,School Street,East,East,School,17.399529,78.533182,Accident,Heart Attack,High,In Progress,Traffic Police,22,42,19,6,151481,Police,No Streetlights,No,Open,Fog,No
62,2023-04-05,14:35:00,2023,4,14,Sunday,Chevella,Agricultural Road,South,South,Residential,17.302021,78.417025,Fire,Theft,Medium,Resolved,Fire Department,50,11,3,1,95427,Police,Daylight,Yes,Open,Hot,Yes
63,2023-05-18,10:20:00,2023,5,10,Tuesday,Madhapur,Road No 36,West,West,Residential,17.447324,78.405709,Crime,Flood,Medium,In Progress,Police,23,8,4,2,156636,Neighbor,No Streetlights,Yes,Open,Clear,Yes
64,2023-06-30,17:45:00,2023,6,17,Thursday,Gachibowli,Lake View Road,West,West,Residential,17.420546,78.356945,Crime,Theft,Critical,In Progress,Police,52,4,1,1,186313,Family,Dim,Yes,Open,Hot,No
65,2023-07-12,11:15:00,2023,7,11,Monday,Secunderabad,Railway Station Road,North,North,Residential,17.451981,78.495083,Crime,Car Accident,Low,Resolved,Police,12,36,14,8,41993,Driver,Daylight,No,Open,Rain,No
66,2023-08-25,22:40:00,2023,8,22,Sunday,Banjara Hills,Road No 12,Central,Central,Residential,17.435893,78.487576,Fire,Heart Attack,Critical,In Progress,Fire Department,6,7,5,0,152974,Family,Well-lit,Yes,Open,Fog,No
67,2023-09-07,08:55:00,2023,9,8,Thursday,Jubilee Hills,Metro Road,Central,Central,Residential,17.419293,78.462283,Fire,Theft,Critical,Open,Fire Department,29,13,6,3,150511,Family,Well-lit,No,Open,Fog,No
68,2023-10-19,15:10:00,2023,10,15,Thursday,Miyapur,Industrial Road,West,North,Industrial Area,17.500869,78.377706,Crime,Flood,Critical,Open,Police,49,34,18,11,161550,Police,Dim,Yes,Open,Fog,Yes
69,2023-11-02,20:25:00,2023,11,20,Friday,Uppal,Market Road,East,East,Commercial,17.402599,78.548862,Disaster,Fire Alert,Critical,Resolved,Disaster Management,58,35,18,3,193871,Police,Dim,No,Open,Clear,No
70,2023-12-14,12:30:00,2023,12,12,Thursday,Charminar,Old City Lane,South,South,Commercial,17.360895,78.472945,Accident,Heart Attack,Medium,In Progress,Traffic Police,42,6,5,5,109762,Driver,Daylight,No,Open,Hot,No
71,2024-01-26,09:45:00,2024,1,9,Wednesday,Kukatpally,School Street,North,Central,School,17.489931,78.400675,Fire,Heart Attack,Critical,Open,Fire Department,33,40,7,3,89893,Driver,Well-lit,No,Open,Hot,Yes
72,2024-02-08,16:10:00,2024,2,16,Thursday,Ameerpet,Hospital Road,Central,Central,Hospital,17.435664,78.44884,Fire,Fire Alert,High,In Progress,Fire Department,50,35,11,10,175047,Anonymous,Daylight,Yes,Open,Cloudy,Yes
73,2024-03-21,11:25:00,2024,3,11,Wednesday,LB Nagar,Metro Road,East,East,Residential,17.346727,78.565273,Accident,Flood,High,Open,Traffic Police,19,36,9,6,2739,Driver,Daylight,Yes,Open,Hot,Yes
74,2024-04-03,21:50:00,2024,4,21,Friday,Nampally,Main Road,Central,Central,Residential,17.39793,78.487816,Fire,Flood,High,In Progress,Fire Department,35,1,1,0,165986,Police,No Streetlights,Yes,Open,Hot,Yes
75,2024-05-15,13:35:00,2024,5,13,Sunday,Tolichowki,Residential Area,South,South,Residential,17.40063,78.431119,Medical Emergency,Heart Attack,High,Resolved,Ambulance,54,33,9,5,190686,Anonymous,Well-lit,No,Open,Hot,Yes
76,2024-06-27,18:20:00,2024,6,18,Monday,Hitech City,IT Park Road,West,West,Public Park,17.447973,78.37326,Disaster,Noise Complaint,Low,In Progress,Disaster Management,47,2,0,0,25198,Anonymous,Dim,Yes,Open,Rain,No
77,2024-07-09,10:45:00,2024,7,10,Saturday,Medchal,Highway Road,North,North,Residential,17.55255,78.482058,Disaster,Car Accident,Medium,Open,Disaster Management,53,42,4,4,81146,Neighbor,Daylight,No,Open,Hot,Yes
78,2024-08-21,22:15:00,2024,8,22,Thursday,Begumpet,Metro Road,North,Central,Commercial,17.43816,78.466657,Public Complaint,Flood,Medium,Resolved,GHMC,27,21,0,0,190396,Citizen,Well-lit,No,Open,Rain,No
79,2024-09-02,14:30:00,2024,9,14,Sunday,Shamshabad,Airport Road,South,South,Residential,17.309947,78.418439,Disaster,Heart Attack,Medium,Resolved,Disaster Management,59,15,5,1,169820,Anonymous,Well-lit,Yes,Open,Rain,No
80,2024-10-14,07:35:00,2024,10,7,Wednesday,Patancheru,Industrial Road,North,North,Industrial Area,17.530384,78.399031,Public Complaint,Flood,Critical,In Progress,GHMC,7,37,4,0,180090,Neighbor,Well-lit,No,Open,Hot,Yes
81,2024-11-25,19:45:00,2024,11,19,Sunday,Shadnagar,Village Area,South,South,Village Area,17.302639,78.408364,Crime,Noise Complaint,High,Resolved,Police,14,5,5,2,91658,Neighbor,No Streetlights,No,Open,Rain,Yes
82,2024-12-07,12:55:00,2024,12,12,Wednesday,Hayathnagar,School Street,East,East,School,17.39427,78.536435,Accident,Car Accident,Critical,In Progress,Traffic Police,37,6,4,2,6405,Police,Well-lit,Yes,Open,Fog,Yes
83,2025-01-18,15:20:00,2025,1,15,Saturday,Chevella,Agricultural Road,South,South,Residential,17.319691,78.428807,Public Complaint,Car Accident,Medium,In Progress,GHMC,12,1,0,0,193447,Family,Dim,No,Open,Heavy Rain,No
84,2025-02-28,10:35:00,2025,2,10,Sunday,Madhapur,Road No 36,West,West,Commercial,17.455212,78.379132,Public Complaint,Noise Complaint,Low,In Progress,GHMC,60,25,0,0,127978,Citizen,Well-lit,Yes,Open,Rain,Yes
85,2025-04-09,17:30:00,2025,4,17,Tuesday,Gachibowli,Lake View Road,West,West,Commercial,17.43634,78.34433,Fire,Theft,Low,Resolved,Fire Department,27,7,1,0,90651,Driver,Well-lit,No,Open,Cloudy,Yes
86,2025-05-21,11:25:00,2025,5,11,Sunday,Secunderabad,Railway Station Road,North,North,Commercial,17.432681,78.502762,Public Complaint,Theft,Critical,Open,GHMC,41,6,1,0,178685,Police,Daylight,No,Open,Clear,Yes
87,2025-06-02,22:50:00,2025,6,22,Friday,Banjara Hills,Road No 12,Central,Central,Residential,17.427744,78.46489,Crime,Car Accident,Low,Open,Police,41,17,0,0,112446,Driver,No Streetlights,No,Open,Clear,Yes
88,2025-07-14,09:00:00,2025,7,9,Saturday,Jubilee Hills,Metro Road,Central,Central,Residential,17.438372,78.474146,Public Complaint,Fire Alert,High,In Progress,GHMC,22,15,10,5,2294,Neighbor,Dim,No,Open,Clear,No
89,2025-08-25,16:15:00,2025,8,16,Saturday,Miyapur,Industrial Road,West,North,Industrial Area,17.496388,78.370921,Accident,Car Accident,Medium,Resolved,Traffic Police,20,11,1,0,163776,Police,Daylight,Yes,Open,Rain,Yes
90,2025-09-06,20:30:00,2025,9,20,Tuesday,Uppal,Market Road,East,East,Commercial,17.429381,78.573421,Disaster,Theft,Low,Resolved,Disaster Management,40,7,3,2,179510,Citizen,No Streetlights,Yes,Open,Fog,Yes
91,2025-10-18,13:45:00,2025,10,13,Sunday,Charminar,Old City Lane,South,South,Residential,17.349174,78.472367,Fire,Car Accident,High,In Progress,Fire Department,9,42,4,1,119064,Police,Daylight,No,Open,Hot,Yes
92,2025-11-29,10:00:00,2025,11,10,Sunday,Kukatpally,School Street,North,Central,School,17.497204,78.416291,Crime,Fire Alert,Critical,Open,Police,35,42,19,10,78375,Driver,Dim,No,Open,Clear,No
93,2025-12-11,16:25:00,2025,12,16,Thursday,Ameerpet,Hospital Road,Central,Central,Hospital,17.436569,78.463984,Crime,Noise Complaint,Low,In Progress,Police,58,6,5,0,120269,Driver,Well-lit,No,Open,Heavy Rain,Yes
94,2022-01-22,12:40:00,2022,1,12,Thursday,LB Nagar,Metro Road,East,East,Residential,17.330906,78.546815,Fire,Car Accident,Low,Open,Fire Department,54,42,20,4,158812,Family,Well-lit,No,Open,Heavy Rain,No
95,2022-02-13,21:15:00,2022,2,21,Thursday,Nampally,Main Road,Central,Central,Commercial,17.394213,78.491384,Fire,Flood,Low,Resolved,Fire Department,25,28,2,1,28371,Driver,No Streetlights,No,Open,Cloudy,Yes
96,2022-03-27,14:50:00,2022,3,14,Wednesday,Tolichowki,Residential Area,South,South,Residential,17.392676,78.416974,Accident,Noise Complaint,Low,In Progress,Traffic Police,44,47,11,11,144174,Police,Daylight,Yes,Open,Cloudy,No
97,2022-04-09,18:05:00,2022,4,18,Saturday,Hitech City,IT Park Road,West,West,Public Park,17.457669,78.38612,Medical Emergency,Theft,High,In Progress,Ambulance,49,39,0,0,182636,Police,Well-lit,Yes,Open,Hot,No
98,2022-05-21,11:20:00,2022,5,11,Tuesday,Medchal,Highway Road,North,North,Commercial,17.561174,78.488715,Fire,Fire Alert,Low,In Progress,Fire Department,28,14,9,4,161558,Family,Well-lit,Yes,Open,Fog,Yes
99,2022-06-02,23:30:00,2022,6,23,Tuesday,Begumpet,Metro Road,North,Central,Commercial,17.451657,78.481691,Disaster,Noise Complaint,Critical,Resolved,Disaster Management,48,15,8,8,164959,Driver,Well-lit,No,Open,Hot,Yes
100,2022-07-15,13:55:00,2022,7,13,Monday,Shamshabad,Airport Road,South,South,Residential,17.312497,78.425293,Medical Emergency,Noise Complaint,Critical,Resolved,Ambulance,38,21,19,9,97834,Neighbor,Daylight,Yes,Open,Clear,Yes
101,2022-08-26,08:40:00,2022,8,8,Thursday,Patancheru,Industrial Road,North,North,Industrial Area,17.529492,78.412146,Disaster,Flood,Low,Open,Disaster Management,32,15,1,1,98855,Citizen,No Streetlights,No,Open,Heavy Rain,No
102,2022-09-07,20:55:00,2022,9,20,Tuesday,Shadnagar,Village Area,South,South,Village Area,17.296563,78.411085,Medical Emergency,Fire Alert,Low,Resolved,Ambulance,50,22,8,3,172225,Police,Well-lit,No,Open,Fog,Yes
103,2022-10-19,14:10:00,2022,10,14,Tuesday,Hayathnagar,School Street,East,East,School,17.378044,78.519828,Disaster,Car Accident,Medium,Open,Disaster Management,16,15,9,0,68663,Driver,Dim,Yes,Open,Heavy Rain,No
104,2022-11-30,11:25:00,2022,11,11,Sunday,Chevella,Agricultural Road,South,South,Commercial,17.300102,78.411007,Accident,Fire Alert,Medium,Resolved,Traffic Police,60,15,12,3,41472,Anonymous,Dim,Yes,Open,Hot,No
105,2022-12-12,17:40:00,2022,12,17,Wednesday,Madhapur,Road No 36,West,West,Commercial,17.449076,78.406026,Crime,Car Accident,High,In Progress,Police,53,21,14,0,131271,Citizen,Well-lit,Yes,Open,Clear,No
106,2023-01-23,10:55:00,2023,1,10,Friday,Gachibowli,Lake View Road,West,West,Commercial,17.432498,78.355671,Disaster,Heart Attack,High,Resolved,Disaster Management,8,44,4,2,172293,Citizen,Daylight,No,Open,Cloudy,No
107,2023-02-04,22:20:00,2023,2,22,Monday,Secunderabad,Railway Station Road,North,North,Commercial,17.440885,78.486233,Fire,Noise Complaint,Medium,Open,Fire Department,7,9,3,3,135976,Police,Daylight,Yes,Open,Heavy Rain,Yes
108,2023-03-16,13:35:00,2023,3,13,Tuesday,Banjara Hills,Road No 12,Central,Central,Residential,17.431433,78.470473,Public Complaint,Noise Complaint,Critical,In Progress,GHMC,12,28,1,0,117954,Anonymous,No Streetlights,Yes,Open,Rain,Yes
109,2023-04-27,08:10:00,2023,4,8,Friday,Jubilee Hills,Metro Road,Central,Central,Residential,17.444262,78.453303,Accident,Fire Alert,Low,In Progress,Traffic Police,9,29,13,6,111434,Citizen,Daylight,No,Open,Clear,No
110,2023-05-09,15:25:00,2023,5,15,Friday,Miyapur,Industrial Road,West,North,Industrial Area,17.499243,78.371074,Medical Emergency,Noise Complaint,High,In Progress,Ambulance,29,31,12,8,188885,Police,Daylight,Yes,Open,Fog,Yes
111,2023-06-21,20:40:00,2023,6,20,Sunday,Uppal,Market Road,East,East,Commercial,17.427922,78.572227,Fire,Heart Attack,High,Open,Fire Department,52,14,5,1,194793,Family,Daylight,No,Open,Cloudy,No
112,2023-07-03,12:55:00,2023,7,12,Thursday,Charminar,Old City Lane,South,South,Residential,17.366803,78.486772,Fire,Flood,Critical,In Progress,Fire Department,41,44,3,3,84432,Family,No Streetlights,Yes,Open,Cloudy,No
113,2023-08-14,09:20:00,2023,8,9,Tuesday,Kukatpally,School Street,North,Central,School,17.483201,78.409886,Fire,Theft,Critical,Open,Fire Department,22,50,7,7,47429,Family,Dim,Yes,Open,Fog,Yes
114,2023-09-25,16:35:00,2023,9,16,Thursday,Ameerpet,Hospital Road,Central,Central,Hospital,17.423432,78.460716,Accident,Noise Complaint,Medium,Open,Traffic Police,17,24,5,4,104268,Neighbor,No Streetlights,No,Open,Clear,Yes
115,2023-10-07,11:50:00,2023,10,11,Thursday,LB Nagar,Metro Road,East,East,Commercial,17.337419,78.555931,Medical Emergency,Fire Alert,Medium,In Progress,Ambulance,12,41,4,3,137742,Driver,Dim,Yes,Open,Hot,No
116,2023-11-18,22:25:00,2023,11,22,Tuesday,Nampally,Main Road,Central,Central,Residential,17.398097,78.492779,Accident,Noise Complaint,High,Resolved,Traffic Police,21,34,7,4,127574,Driver,Well-lit,Yes,Open,Fog,Yes
